name,code,close,change_pct,macd,obv,rsi,trend,volume,score,stars,signal,ma20,ma60,sector
海亮股份,002203.SZ,15.14,0.26490066225166176,金叉,↑,66.3,震荡,正常,3,⭐⭐⭐☆☆,观察,14.05,14.25,其他
福晶科技,002222.SZ,81.69,0.7399186089530082,金叉,↑,77.4,震荡,正常,2,⭐⭐☆☆☆,观察,67.29,68.34,光模块
盛新锂能,002240.SZ,39.0,-1.3657056145675244,金叉,↓,63.8,震荡,正常,3,⭐⭐⭐☆☆,观察,38.62,38.22,锂电材料
科华数据,002335.SZ,58.77,2.0489668345198813,死叉,↑,37.2,下降,正常,2,⭐⭐☆☆☆,观察,59.76,61.11,AIDC电源
通鼎互联,002491.SZ,16.14,6.184210526315798,金叉,↑,81.4,上升,放量,4,⭐⭐⭐⭐☆,买入,11.66,9.6,光模块
中矿资源,002738.SZ,78.0,0.30864197530863535,金叉,↑,67.6,下降,缩量,3,⭐⭐⭐☆☆,观察,72.09,81.0,锂电材料
永兴材料,002756.SZ,70.25,-2.240467575841914,死叉,↓,67.3,上升,正常,3,⭐⭐⭐☆☆,观察,70.4,60.77,锂电材料
世嘉科技,002796.SZ,50.47,-1.3101290574892486,死叉,↓,41.8,上升,正常,3,⭐⭐⭐☆☆,观察,51.37,48.11,其他
恩捷股份,002812.SZ,65.82,-4.525674499564845,死叉,↓,52.1,上升,正常,3,⭐⭐⭐☆☆,观察,68.6,60.78,锂电材料
伊戈尔,002922.SZ,37.65,1.1009667024704528,金叉,↑,53.1,下降,正常,3,⭐⭐⭐☆☆,观察,37.01,40.41,AIDC电源
东方日升,300118.SZ,16.21,-2.349397590361449,死叉,↓,39.9,下降,正常,2,⭐⭐☆☆☆,观察,17.62,19.05,光伏
欣旺达,300207.SZ,24.96,1.752955564614756,死叉,↑,39.4,上升,正常,3,⭐⭐⭐☆☆,观察,26.3,25.37,其他
富临精工,300432.SZ,23.89,3.2411408815903195,死叉,↑,70.5,上升,正常,2,⭐⭐☆☆☆,观察,21.87,19.39,其他
鹏辉能源,300438.SZ,53.39,1.695238095238096,死叉,↑,46.5,上升,正常,3,⭐⭐⭐☆☆,观察,55.92,50.95,其他
高澜股份,300499.SZ,37.63,0.6149732620320962,死叉,↑,42.3,上升,正常,3,⭐⭐⭐☆☆,观察,37.3,34.08,液冷
精测电子,300567.SZ,131.72,2.729683356730619,金叉,↑,53.4,下降,正常,3,⭐⭐⭐☆☆,观察,127.36,132.41,半导体设备
捷佳伟创,300724.SZ,105.72,-2.065771190365914,死叉,↓,38.7,下降,正常,2,⭐⭐☆☆☆,观察,116.29,120.36,光伏设备
运达股份,300772.SZ,17.03,-0.988372093023245,死叉,↓,29.8,震荡,正常,1,⭐☆☆☆☆,卖出,19.08,19.4,风电
上能电气,300827.SZ,37.64,3.4918889194391065,死叉,↑,50.4,上升,正常,3,⭐⭐⭐☆☆,观察,39.79,38.73,储能
协创数据,300857.SZ,231.11,0.11262724713017949,金叉,↑,40.3,震荡,正常,3,⭐⭐⭐☆☆,观察,225.33,221.9,算力云
海科新源,301059.SZ,13.91,-0.571837026447463,金叉,↓,47.9,震荡,正常,3,⭐⭐⭐☆☆,观察,13.82,14.03,锂电材料
中一科技,301150.SZ,57.32,0.66736916051985,金叉,↑,72.3,上升,正常,3,⭐⭐⭐☆☆,观察,52.53,47.42,铜箔
锐捷网络,301165.SZ,92.11,-0.25988088792636155,金叉,↓,54.2,震荡,正常,3,⭐⭐⭐☆☆,观察,85.24,83.58,服务器
铜冠铜箔,301217.SZ,43.05,2.0625889046941617,金叉,↑,61.2,上升,放量,5,⭐⭐⭐⭐⭐,买入,39.01,37.65,铜箔
湖南裕能,301358.SZ,72.1,0.9803921568627292,死叉,↑,47.1,上升,正常,3,⭐⭐⭐☆☆,观察,75.7,68.55,锂电材料
斯菱股份,301511.SZ,44.99,9.225540179655267,金叉,↑,70.8,上升,放量,4,⭐⭐⭐⭐☆,买入,38.89,34.65,机器人
诺德股份,600110.SH,10.16,3.462321792260691,金叉,↑,76.2,上升,正常,3,⭐⭐⭐☆☆,观察,8.56,7.75,铜箔
维科技术,600152.SH,9.85,-1.2036108324975026,死叉,↓,55.2,上升,正常,3,⭐⭐⭐☆☆,观察,9.94,8.81,电池
双良节能,600481.SH,6.45,-1.526717557251903,死叉,↓,40.9,下降,缩量,2,⭐⭐☆☆☆,观察,6.87,7.92,光伏
亨通光电,600487.SH,59.54,1.6734972677595574,金叉,↑,83.4,上升,正常,3,⭐⭐⭐☆☆,观察,49.98,40.78,风电
泰豪科技,600590.SH,14.11,-0.3531073446327734,死叉,↓,44.8,上升,缩量,3,⭐⭐⭐☆☆,观察,14.05,12.85,燃机电力
明阳智能,601615.SH,16.33,-0.4268292682926847,死叉,↓,19.9,N/A,正常,1,⭐☆☆☆☆,卖出,18.52,,风电
正泰电器,601877.SH,32.75,0.09168704156479565,死叉,↑,40.2,上升,正常,3,⭐⭐⭐☆☆,观察,34.34,32.67,正泰电器
石大胜华,603026.SH,77.42,-3.224999999999998,死叉,↓,59.8,上升,正常,3,⭐⭐⭐☆☆,观察,79.53,71.78,锂电材料
振江股份,603507.SH,46.21,9.997619614377538,金叉,↑,73.6,上升,正常,3,⭐⭐⭐☆☆,观察,40.07,33.61,风电
东方电缆,603606.SH,57.94,-3.4333333333333367,死叉,↓,34.9,上升,正常,3,⭐⭐⭐☆☆,观察,62.18,59.84,风电
利通电子,603629.SH,74.62,5.99431818181818,金叉,↑,57.2,上升,正常,4,⭐⭐⭐⭐☆,买入,63.38,50.23,算力云
璞泰来,603659.SH,31.91,1.301587301587302,死叉,↑,61.3,上升,正常,3,⭐⭐⭐☆☆,观察,31.6,29.32,锂电材料
鼎胜新材,603876.SH,23.71,5.004428697962811,金叉,↑,76.9,上升,正常,3,⭐⭐⭐☆☆,观察,21.49,18.96,铝箔
龙蟠科技,603906.SH,22.03,-1.6956715751896432,金叉,↓,76.9,上升,缩量,3,⭐⭐⭐☆☆,观察,20.34,19.23,锂电材料
派能科技,688063.SH,68.99,-0.17363623209377016,死叉,↓,36.0,上升,正常,3,⭐⭐⭐☆☆,观察,75.72,67.64,储能
德科立,688205.SH,243.0,-2.0161290322580645,金叉,↓,68.0,上升,正常,4,⭐⭐⭐⭐☆,买入,197.47,173.62,光模块
晶科能源,688223.SH,6.44,-2.8657616892910935,死叉,↓,40.5,震荡,缩量,2,⭐⭐☆☆☆,观察,7.18,7.07,光伏
万润新能,688275.SH,113.72,4.6663598711458745,死叉,↑,52.2,上升,正常,3,⭐⭐⭐☆☆,观察,111.79,91.19,锂电材料
华丰科技,688312.SH,60.78,7.899875732291857,金叉,↑,72.8,上升,放量,4,⭐⭐⭐⭐☆,买入,49.87,46.05,连接器
芯原股份,688521.SH,238.24,-1.0302426055167786,金叉,↓,69.5,震荡,正常,3,⭐⭐⭐☆☆,观察,213.82,215.98,AI芯片
拉普拉斯,688612.SH,31.56,-0.7547169811320817,金叉,↓,60.1,下降,正常,3,⭐⭐⭐☆☆,观察,29.57,30.93,光伏设备
芯碁微装,688630.SH,244.9,2.041666666666669,金叉,↑,79.7,上升,放量,4,⭐⭐⭐⭐☆,买入,189.44,179.61,PCB设备
盛科通信,688702.SH,220.46,0.6712635280149772,金叉,↑,73.2,上升,正常,3,⭐⭐⭐☆☆,观察,179.63,165.51,其他
普冉股份,688766.SH,242.79,1.2215459017760268,死叉,↑,29.8,上升,正常,2,⭐⭐☆☆☆,观察,250.21,244.25,AI芯片
特发信息,000070.SZ,20.88,10.010537407797674,金叉,↑,73.6,上升,正常,3,⭐⭐⭐☆☆,观察,16.81,15.3,光模块
盐湖股份,000792.SZ,37.4,0.40268456375838546,死叉,↑,66.0,上升,正常,3,⭐⭐⭐☆☆,观察,36.79,35.34,其他
紫光股份,000938.SZ,27.02,2.1164021164021114,金叉,↑,51.4,震荡,放量,4,⭐⭐⭐⭐☆,买入,25.64,25.56,服务器
国轩高科,002074.SZ,35.28,0.3127665624111442,死叉,↑,40.4,下降,正常,2,⭐⭐☆☆☆,观察,36.65,37.94,其他
苏州固锝,002079.SZ,9.55,-1.8499486125385374,金叉,↓,39.7,下降,正常,3,⭐⭐⭐☆☆,观察,9.74,10.4,其他
金风科技,002202.SZ,23.84,0.0,死叉,↓,21.9,震荡,正常,0,☆☆☆☆☆,卖出,27.47,27.71,风电
